,bgn_utm,bulan,presipitasi,sm_smap,tmin,tmax,t,swr,et_era5,irrigation + pres,Provinsi,irigasi
1863,D.I. Danau Tua,2022-04,3.05,0.3453333333333333,25.756333333333355,30.46266666666668,28.03366666666669,663398154.54,149.25,223.15043536828105,Nusa Tenggara Timur,220.10043536828104
1864,D.I. Danau Tua,2022-05,7.33,0.2783870967741936,26.27774193548389,30.722580645161315,28.3235483870968,627335962.08,95.69,191.52796434210353,Nusa Tenggara Timur,184.19796434210352
1865,D.I. Danau Tua,2022-06,48.660000000000004,0.25866666666666666,26.04100000000002,29.951000000000022,27.765666666666686,520563909.16,59.24,180.80486701257888,Nusa Tenggara Timur,132.14486701257889
1866,D.I. Danau Tua,2022-07,24.68,0.2803225806451613,24.2909677419355,27.82387096774196,25.793548387096795,569886349.51,72.39,188.75455853339037,Nusa Tenggara Timur,164.07455853339036
1867,D.I. Danau Tua,2022-08,0.0,0.2535483870967742,24.73193548387099,29.73451612903228,26.866451612903244,682012046.49,37.25,173.209429063671,Nusa Tenggara Timur,173.209429063671
1868,D.I. Danau Tua,2022-09,4.720000000000001,0.23999999999999996,25.420000000000023,31.407666666666692,28.027333333333353,702739749.3,37.7,166.92805060999055,Nusa Tenggara Timur,162.20805060999055
1869,D.I. Danau Tua,2022-10,64.86,0.2574193548387097,26.649677419354855,31.995161290322603,28.96129032258067,719955891.92,70.42,193.1453261598319,Nusa Tenggara Timur,128.28532615983192
1879,D.I. Dataran Kotamobagu,2021-08,82.71,0.3732258064516129,20.029032258064543,25.293870967741956,22.01612903225809,550996171.01,132.18,207.08845582954825,Sulawesi Utara,124.37845582954826
1900,D.I. Delta Brantas,2021-05,47.57,0.31548387096774194,23.8235483870968,31.580000000000023,27.464193548387122,588421708.09,110.0,137.0288424667115,Jawa Timur,89.4588424667115
1902,D.I. Delta Brantas,2021-07,36.050000000000004,0.26548387096774195,21.86096774193551,31.91000000000003,26.817741935483895,622641083.55,91.43,95.46844980420433,Jawa Timur,59.41844980420432
1903,D.I. Delta Brantas,2021-08,8.64,0.21870967741935485,22.957096774193573,33.016774193548414,27.85193548387099,670973333.23,71.38,79.76817288953691,Jawa Timur,71.12817288953691
1915,D.I. Delta Brantas,2022-08,20.19,0.29612903225806453,22.880000000000024,32.07032258064518,27.357419354838733,649542979.13,95.85,133.07829119324583,Jawa Timur,112.88829119324583
